id;name;category;barcode;price;purchasePrice;stock;minStock;image;expirationDate;priceStatus;imageStatus
218;Huile Lesieur 3 Graines;Huiles & Vinaigres;6111024001530;0.0;0.0;50;5;218.jpg;;MISSING;MISSING
219;Huile d'olive;Huiles & Vinaigres;6111099000254;0.0;0.0;50;5;219.jpg;;MISSING;MISSING
220;Huile d'olive vierge de Maroc;Huiles & Vinaigres;6111024004746;0.0;0.0;50;5;220.jpg;;MISSING;MISSING
221;Huile de grignon d’olive;Huiles & Vinaigres;6111062000175;0.0;0.0;50;5;221.jpg;;MISSING;MISSING
222;Huile de table;Huiles & Vinaigres;6111099000629;0.0;0.0;50;5;222.jpg;;MISSING;MISSING
223;Huile de table;Huiles & Vinaigres;6111099000599;0.0;0.0;50;5;223.jpg;;MISSING;MISSING
224;Huile de table équilibrée;Huiles & Vinaigres;6111024001974;0.0;0.0;50;5;224.jpg;;MISSING;MISSING
225;Huile de table équilibrée riche en vitamines A,E,D3;Huiles & Vinaigres;6111024001516;0.0;0.0;50;5;225.jpg;;MISSING;MISSING
226;Huile de tournesol;Huiles & Vinaigres;6111024001202;0.0;0.0;50;5;226.jpg;;MISSING;MISSING
227;Huile d’olive;Huiles & Vinaigres;;0.0;0.0;50;5;227.jpg;;MISSING;MISSING
228;Huile végétale;Huiles & Vinaigres;;0.0;0.0;50;5;228.jpg;;MISSING;MISSING
229;Huile végétale - lot;Huiles & Vinaigres;;0.0;0.0;50;5;229.jpg;;MISSING;MISSING
230;Huille;Huiles & Vinaigres;6111024004753;0.0;0.0;50;5;230.jpg;;MISSING;MISSING
231;Hule D'olive;Huiles & Vinaigres;6111099000247;0.0;0.0;50;5;231.jpg;;MISSING;MISSING
232;Joly;Huiles & Vinaigres;6111162000464;0.0;0.0;50;5;232.jpg;;MISSING;MISSING
233;Joly Thon Entier;Huiles & Vinaigres;6111162000181;0.0;0.0;50;5;233.jpg;;MISSING;MISSING
234;La Española Extra Virgin Olive Oil;Huiles & Vinaigres;8410660098804;0.0;0.0;50;5;234.jpg;;MISSING;MISSING
235;Lio huile de table;Huiles & Vinaigres;6111099000582;0.0;0.0;50;5;235.jpg;;MISSING;MISSING
236;Louisa Huile;Huiles & Vinaigres;;0.0;0.0;50;5;236.jpg;;MISSING;MISSING
237;Okior Huile;Huiles & Vinaigres;;0.0;0.0;50;5;237.jpg;;MISSING;MISSING
238;Oleor;Huiles & Vinaigres;6111024001288;0.0;0.0;50;5;238.jpg;;MISSING;MISSING
239;Oni Huile;Huiles & Vinaigres;;0.0;0.0;50;5;239.jpg;;MISSING;MISSING
240;Oni Huile - lot;Huiles & Vinaigres;;0.0;0.0;50;5;240.jpg;;MISSING;MISSING
241;Oregan Huile de coco;Huiles & Vinaigres;;0.0;0.0;50;5;241.jpg;;MISSING;MISSING
242;Pipas;Huiles & Vinaigres;6111214004747;0.0;0.0;50;5;242.jpg;;MISSING;MISSING
243;Sardine à l’huile végétale;Huiles & Vinaigres;769503575445;0.0;0.0;50;5;243.jpg;;MISSING;MISSING
244;Star vinaigre de table BLANC;Huiles & Vinaigres;6111184001661;0.0;0.0;50;5;244.jpg;;MISSING;MISSING
245;TAM thon entier a l'huile;Huiles & Vinaigres;3341430510019;0.0;0.0;50;5;245.jpg;;MISSING;MISSING
246;Thon Joly;Huiles & Vinaigres;6111162001102;0.0;0.0;50;5;246.jpg;;MISSING;MISSING
247;Thon entier à l'huile;Huiles & Vinaigres;3341430551449;0.0;0.0;50;5;247.jpg;;MISSING;MISSING
248;Vinaigre Alcool Colore,;Huiles & Vinaigres;6111184001036;0.0;0.0;50;5;248.jpg;;MISSING;MISSING
249;Vinaigre blanc;Huiles & Vinaigres;;0.0;0.0;50;5;249.jpg;;MISSING;MISSING
250;Wilor;Huiles & Vinaigres;6111024002186;0.0;0.0;50;5;250.jpg;;MISSING;MISSING
251;Zaman Oil - Huile d’amande 250 ml;Huiles & Vinaigres;6111251753912;0.0;0.0;50;5;251.jpg;;MISSING;MISSING
252;vinaigre de table blanc;Huiles & Vinaigres;6111250474191;0.0;0.0;50;5;252.jpg;;MISSING;MISSING
253;زيت المائدة المختارة;Huiles & Vinaigres;6111024001295;0.0;0.0;50;5;253.jpg;;MISSING;MISSING
254;30 u;Produits laitiers;;0.0;0.0;50;5;254.jpg;;MISSING;MISSING
255;Actimel;Produits laitiers;6111032009146;0.0;0.0;50;5;255.jpg;;MISSING;MISSING
256;Actimel;Produits laitiers;6111032009153;0.0;0.0;50;5;256.jpg;;MISSING;MISSING
257;Activia;Produits laitiers;6111032009436;0.0;0.0;50;5;257.jpg;;MISSING;MISSING
258;Activia Céréales;Produits laitiers;6111032002208;0.0;0.0;50;5;258.jpg;;MISSING;MISSING
259;Activia ananas fraise;Produits laitiers;6111032009443;0.0;0.0;50;5;259.jpg;;MISSING;MISSING
