id;name;barcode;price
113;Assaisonnement aromatisé au citron;6111184003276;0.00
466;Assaisonnement aromatisé au citron;6111250472265;0.00
192;Atún con tomate;8410111000707;0.00
676;Barilla Arrabbiata;;0.00
658;Barilla Sauce Bolognese;;0.00
238;Bol Bol Ketchup;6111250472241;0.00
672;Dami Sauce / Préparation;;0.00
642;Heinz Ketchup;;0.00
340;Hot Sauce;6111184009520;0.00
48;Ketchup Star;6111184004730;0.00
534;Ketchup Star;;0.00
706;Lesieur Mayonnaise légère;;0.00
711;Lugo Sauce piquante;;0.00
572;Mario Mayonnaise;;0.00
360;Mayonesa sabor tradicional;8410066131334;0.00
467;Mayonnaise;6111250475129;0.00
598;Mayonnaise;;0.00
98;Mayonnaise;6111184000619;0.00
42;Mayonnaise recette originale;6111184004129;0.00
350;Moutarde;6111250474641;0.00
144;Moutarde de Dijon;6111184001203;0.00
85;Olla;6111251753899;0.00
540;Panzani Sauce tomate;;0.00
655;Panzani Sauce tomate;;0.00
704;Sacla Pesto;;0.00
486;Sauce Algérienne;6111184008356;0.00
338;Sauce De Soja Supérieure Claire;8681480324484;0.00
96;Sauce algérienne;6111184007618;0.00
587;Sauce barbecue;;0.00
605;Sauce barbecue;;0.00
569;Sauce piquante;;0.00
693;Sauce piquante;;0.00
382;Sauce pizza star 350 g;6111184006413;0.00
591;Sauce tomate;;0.00
628;Star Ketchup;;0.00
112;Star Mayonnaise;6111184000657;0.00
700;Star Mayonnaise;;0.00
710;Star Mayonnaise;;0.00
679;Star Moutarde;;0.00
515;Star Pizza;;0.00
597;Star Pizza;;0.00
458;Star Premium Mayonnaise;6111259344068;0.00
694;Star Sauces - assortiment;;0.00
560;Star Spicy;;0.00
264;Star moutarde;6111184004716;0.00
216;Star moutarde 200 g;6111184000701;0.00
51;sauce tomate cuisinée;8445290615350;0.00
190;Levure;6111245370064;0.00
163;Trios;6111252860077;0.00
128;Cacao;6111180007650;0.00
54;Cosumar Sucre En Lingot Pour Le Thé 1 kg;6111029000118;0.00
343;Cosumar Sucre Granule - Granulated Sugar;6111029000415;0.00
595;La Peruche Sucre;;0.00
99;Nescafé classic;6111018501480;0.00
363;Samar Gusto Coffee 45g;6111243002493;0.00
523;Sucre;;0.00
524;Sucre;;0.00
599;Sucre;;0.00
356;enmer;6111029000293;0.00
353;miel;6111243380027;0.00
504;Édulcorant zéro calorie;;0.00
86;سكر الفانيلين;6111180000392;0.00
243;Asta;6111101001361;0.00
73;Green Tea;6923818812082;0.00
213;Lipton Ice Tea Saveur Pêche;6111252422411;0.00
293;Nescafe classic;6111018903185;0.00
611;Nesquik;;0.00
624;Nesquik;;0.00
601;Nesquik / Boisson cacao;;0.00
